Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
4,46,26,0,4,1,4,1317634,1,4,1977292,1,0,728783,0,4,1639394,1
4,91,27,4,3,5,7,7074680,1,14,24344691,1,11,17217284,1,0,201168,0
3,9,7,0,6,0,4,2650,1,4,4510,1,4,4475,1,0,14241,0
3,16,12,0,3,0,4,71390,1,4,63909,1,4,83890,1,4,44983,1
3,13,8,0,8,0,0,98607,0,4,50924,1,4,36044,1,0,70449,0
3,27,16,0,3,0,4,212342,1,4,149931,1,4,226120,1,4,104912,1
3,15,11,0,4,0,4,47178,1,4,43713,1,4,39238,1,4,46182,1
4,118,45,18,7,29,16,19983516,1,0,6532,0,12,29861834,0,29,57213884,1
3,21,12,0,3,0,5,72908,1,4,146928,1,4,76128,1,4,66496,1
3,13,10,0,10,0,4,52194,1,4,48822,1,4,30968,1,4,52143,1
3,9,6,0,2,0,4,3030,1,4,2677,1,4,3450,1,4,2677,1
3,21,16,0,5,0,5,74833,1,4,337474,1,4,101949,1,4,322677,1
3,21,15,0,6,0,5,18437,0,4,255751,1,3,6038,0,4,19242,0
3,24,14,0,14,0,5,301773,0,4,169712,0,5,229814,1,4,264661,0
4,18,8,0,3,0,3,14677,1,3,68310,1,3,17962,1,3,15166,1
3,15,11,0,4,0,4,60044,1,4,216013,1,4,41419,1,4,48583,1
3,24,15,0,2,0,5,128199,1,6,310476,1,0,1179,0,6,379625,1
3,13,10,0,4,0,4,15335,1,4,35459,1,4,74077,1,4,22012,1
3,15,9,0,4,0,4,25160,1,4,31449,1,4,38498,1,4,21499,1
3,27,18,0,4,0,4,569836,1,4,340377,1,4,312354,1,4,432402,1
3,24,15,0,4,0,4,187909,1,4,210617,1,4,157563,1,4,276824,1
3,27,20,0,4,0,0,5024,0,4,649282,1,4,752691,1,0,8681,0
4,84,33,4,4,13,8,4999565,0,18,35178254,1,11,16258733,1,12,19077855,1
3,24,15,0,4,0,4,259099,1,4,424044,1,4,306752,1,4,344560,1
3,6,6,0,5,0,4,3003,1,3,3241,1,3,1693,1,4,1880,1
